transaction_id,account_id,transaction_amount,transaction_date,currency,transaction_type,status,branch_code,capital_ratio,approval_code,risk_score
TXN-021,ACC-100021,99999.99,2024-01-15,USD,DEBIT,APPROVED,BR-001,0.02,APR-9921,25.0
TXN-022,ACC-100022,-500.00,2024-01-15,EUR,CREDIT,APPROVED,BR-002,0.15,APR-9922,30.0
TXN-023,ACC-100023,750.00,2024-01-16,GBP,TRANSFER,APPROVED,BR-003,0.03,APR-9923,180.0
TXN-024,ACC-100024,4900.00,2024-01-16,USD,DEBIT,APPROVED,BR-001,0.09,APR-9924,45.0
TXN-025,ACC-100025,220.75,2024-01-17,INVALID,CREDIT,PENDING,BR-002,0.11,APR-9925,12.0
TXN-026,ACC-100026,8800.00,2024-01-17,USD,WIRE,APPROVED,BR-004,0.13,APR-9926,60.0
TXN-027,ACC-100027,1100.00,2024-01-18,GBP,DEBIT,APPROVED,BR-003,0.14,,22.0
TXN-028,ACC-100028,50000.00,2024-01-18,USD,CREDIT,APPROVED,BR-001,0.01,APR-9928,35.0
TXN-029,ACC-100029,340.00,2024-01-19,EUR,DEBIT,VERIFIED,BR-005,0.09,APR-9929,8.0
TXN-030,ACC-100030,2750.00,2024-01-19,USD,TRANSFER,APPROVED,BR-002,0.12,APR-9930,28.0